,num_processes,n_subintervals,iter,time
0,1, 100000000, 1,0.405513
3,1, 100000000, 2,0.40341
6,1, 100000000, 3,0.407941
9,1, 100000000, 4,0.406212
60,12, 100000000, 1,0.159185
63,12, 100000000, 2,0.157277
66,12, 100000000, 3,0.184381
69,12, 100000000, 4,0.177266
72,16, 100000000, 1,0.178161
75,16, 100000000, 2,0.216099
78,16, 100000000, 3,0.232502
81,16, 100000000, 4,0.186827
12,2, 100000000, 1,0.218771
15,2, 100000000, 2,0.228492
18,2, 100000000, 3,0.218087
21,2, 100000000, 4,0.218189
24,3, 100000000, 1,0.165959
27,3, 100000000, 2,0.16211
30,3, 100000000, 3,0.175584
33,3, 100000000, 4,0.162009a
36,4, 100000000, 1,0.126628
39,4, 100000000, 2,0.126772
42,4, 100000000, 3,0.190142
45,4, 100000000, 4,0.126918
48,8, 100000000, 1,0.13634
51,8, 100000000, 2,0.125098
54,8, 100000000, 3,0.124814
57,8, 100000000, 4,0.125026
1,1, 1000000000, 1,4.04545
4,1, 1000000000, 2,4.05337
7,1, 1000000000, 3,4.04546
10,1, 1000000000, 4,4.04225
61,12, 1000000000, 1,1.17867
64,12, 1000000000, 2,1.20243
67,12, 1000000000, 3,1.20679
70,12, 1000000000, 4,1.20459
73,16, 1000000000, 1,1.18019
76,16, 1000000000, 2,1.32844
79,16, 1000000000, 3,1.16756
82,16, 1000000000, 4,1.20853
13,2, 1000000000, 1,2.09053
16,2, 1000000000, 2,2.09011
19,2, 1000000000, 3,2.08876
22,2, 1000000000, 4,2.09056
25,3, 1000000000, 1,1.46452
28,3, 1000000000, 2,1.44421
31,3, 1000000000, 3,1.44224
34,3, 1000000000, 4,1.4545
37,4, 1000000000, 1,1.17577
40,4, 1000000000, 2,1.13175
43,4, 1000000000, 3,1.10665
46,4, 1000000000, 4,1.10957
49,8, 1000000000, 1,1.0948
52,8, 1000000000, 2,1.12173
55,8, 1000000000, 3,1.09407
58,8, 1000000000, 4,1.11153
2,1, 2000000000, 1,8.11766
5,1, 2000000000, 2,8.09572
8,1, 2000000000, 3,8.11574
11,1, 2000000000, 4,8.11623
62,12, 2000000000, 1,2.34927
65,12, 2000000000, 2,2.29498
68,12, 2000000000, 3,2.30974
71,12, 2000000000, 4,2.38264
74,16, 2000000000, 1,2.32367
77,16, 2000000000, 2,2.26581
80,16, 2000000000, 3,2.28268
83,16, 2000000000, 4,2.31137
14,2, 2000000000, 1,4.17427
17,2, 2000000000, 2,4.1821
20,2, 2000000000, 3,4.16346
23,2, 2000000000, 4,4.16466
26,3, 2000000000, 1,2.88878
29,3, 2000000000, 2,2.86289
32,3, 2000000000, 3,2.8698
35,3, 2000000000, 4,2.88286
38,4, 2000000000, 1,2.18433
41,4, 2000000000, 2,2.22575
44,4, 2000000000, 3,2.16426
47,4, 2000000000, 4,2.16553
50,8, 2000000000, 1,2.23809
53,8, 2000000000, 2,2.18688
56,8, 2000000000, 3,2.17615
59,8, 2000000000, 4,2.18611
