,num_processes,n_subintervals,iter,time
17,12, 1000, 1,3.498177
21,16, 1000, 1,3.648438
1,2, 1000, 1,5.465050
5,3, 1000, 1,2.829670
9,4, 1000, 1,3.046070
13,8, 1000, 1,3.494623
18,12, 4000, 1,347.953926
22,16, 4000, 1,356.635747
2,2, 4000, 1,716.461683
6,3, 4000, 1,370.774833
10,4, 4000, 1,292.462802
14,8, 4000, 1,324.715150
19,12, 6000, 1,1690.826321
23,16, 6000, 1,1693.683443
3,2, 6000, 1,2763.815150
7,3, 6000, 1,1499.016772
11,4, 6000, 1,1175.097147
15,8, 6000, 1,1465.341556
16,12, 900, 1,2.136754
20,16, 900, 1,2.913003
0,2, 900, 1,3.177660
4,3, 900, 1,1.665621
8,4, 900, 1,1.127167
12,8, 900, 1,2.780918
